entity_id,entity_type,display_name,habitual_hour_start,habitual_hour_end,home_city,home_country,home_lat,home_lon,home_subnet,typical_resources,typical_auth_method,typical_os,typical_mac,typical_protocol,mean_session_seconds,std_session_seconds
USE-00001,user,Allison Hill,9,17,San Francisco,US,37.7749,-122.4194,10.194.182,"[np.str_('resource/hr/016'), np.str_('resource/billing/020'), np.str_('resource/iot_gateway/014'), np.str_('resource/finance/018'), np.str_('resource/customer_db/010')]",api_key,macOS Sonoma,08:72:47:34:2c:d8,HTTPS,876.6483756645528,86.74364436186463
USE-00002,user,Daniel Wagner,9,18,London,UK,51.5074,-0.1278,10.211.70,"[np.str_('resource/customer_db/015'), np.str_('resource/billing/012'), np.str_('resource/hr/021'), np.str_('resource/customer_db/013'), np.str_('resource/infra/008'), np.str_('resource/customer_db/004')]",api_key,Windows 11,96:0d:65:d6:70:e5,MQTT,715.6036264581788,194.7256443910826
USE-00003,user,Sean Blake,9,18,Sydney,AU,-33.8688,151.2093,10.246.104,"[np.str_('resource/infra/010'), np.str_('resource/iot_gateway/023'), np.str_('resource/engineering/022'), np.str_('resource/finance/009'), np.str_('resource/customer_db/017'), np.str_('resource/customer_db/024'), np.str_('resource/hr/013')]",mfa,IoT-RTOS,36:51:d8:ae:8e:4f,RDP,908.8537629433573,54.104844635171425
USE-00004,user,Gabrielle Davis,6,15,Sydney,AU,-33.8688,151.2093,10.178.24,"[np.str_('resource/iot_gateway/009'), np.str_('resource/hr/020'), np.str_('resource/devops/014'), np.str_('resource/engineering/015'), np.str_('resource/infra/012')]",mfa,RHEL 9,ba:31:b7:b0:87:16,MQTT,1472.0041205946272,89.7461082254314
USE-00005,user,Calvin Nielsen,7,14,Moscow,RU,55.7558,37.6173,10.199.141,"[np.str_('resource/devops/025'), np.str_('resource/infra/024'), np.str_('resource/billing/014'), np.str_('resource/hr/003'), np.str_('resource/hr/015'), np.str_('resource/billing/010'), np.str_('resource/finance/002')]",sso,macOS Sonoma,0a:28:96:b9:62:23,SMB,354.8589568544645,40.61541323647522
USE-00006,user,Patricia Galloway,8,16,Sydney,AU,-33.8688,151.2093,10.142.202,"[np.str_('resource/infra/015'), np.str_('resource/billing/018'), np.str_('resource/infra/012'), np.str_('resource/finance/016'), np.str_('resource/billing/003')]",mfa,macOS Sonoma,a2:77:33:c2:8e:e8,HTTPS,853.6852139103688,58.62524110751526
USE-00007,user,Carla Kelly,7,16,Frankfurt,DE,50.1109,8.6821,10.169.104,"[np.str_('resource/engineering/006'), np.str_('resource/hr/021'), np.str_('resource/engineering/009'), np.str_('resource/devops/008'), np.str_('resource/billing/011'), np.str_('resource/finance/007'), np.str_('resource/billing/019'), np.str_('resource/finance/012')]",sso,Ubuntu 22.04,76:88:24:57:7d:53,MQTT,400.5145054449426,24.088173164094886
USE-00008,user,William Bowman,6,15,San Francisco,US,37.7749,-122.4194,10.97.60,"[np.str_('resource/customer_db/025'), np.str_('resource/iot_gateway/011'), np.str_('resource/devops/004'), np.str_('resource/devops/013'), np.str_('resource/hr/007'), np.str_('resource/iot_gateway/016'), np.str_('resource/customer_db/016')]",mfa,RHEL 9,ce:70:a6:1c:75:10,SMB,727.8451857296959,35.776985476898176
USE-00009,user,Derek Clark,6,14,Singapore,SG,1.3521,103.8198,10.69.20,"[np.str_('resource/engineering/021'), np.str_('resource/devops/019'), np.str_('resource/billing/003'), np.str_('resource/customer_db/016'), np.str_('resource/iot_gateway/013'), np.str_('resource/devops/002'), np.str_('resource/engineering/003'), np.str_('resource/customer_db/022')]",password,Ubuntu 22.04,24:a1:6c:ff:ca:ea,SFTP,885.7041669204666,56.425405663141454
USE-00010,user,David Hoffman,7,16,Mumbai,IN,19.076,72.8777,10.159.35,"[np.str_('resource/finance/004'), np.str_('resource/infra/007'), np.str_('resource/hr/010'), np.str_('resource/billing/002'), np.str_('resource/billing/020'), np.str_('resource/customer_db/017')]",sso,Windows 11,22:86:db:cc:b9:70,SMB,261.8664595150137,94.84533239070973
